Token	0Gold	1Bert	2Flair	3Stanza	4Marmot	5Hunpos
strängt	ADV.Degree=Pos	ADJ.Case=Nom.Definite=Ind.Degree=Pos.Gender=Neut.Number=Sing	ADV.Degree=Pos	ADJ.Case=Nom.Definite=Ind.Degree=Pos.Gender=Neut.Number=Sing	ADV.Degree=Pos	ADV.Degree=Pos
patriarkaliskt	ADJ.Case=Nom.Definite=Ind.Degree=Pos.Gender=Neut.Number=Sing	ADJ.Case=Nom.Definite=Ind.Degree=Pos.Gender=Neut.Number=Sing	ADJ.Case=Nom.Definite=Ind.Degree=Pos.Gender=Neut.Number=Sing	ADJ.Case=Nom.Definite=Ind.Degree=Pos.Gender=Neut.Number=Sing	ADJ.Case=Nom.Definite=Ind.Degree=Pos.Gender=Neut.Number=Sing	ADJ.Case=Nom.Definite=Ind.Degree=Pos.Gender=Neut.Number=Sing
system	NOUN.Case=Nom.Definite=Ind.Gender=Neut.Number=Sing	NOUN.Case=Nom.Definite=Ind.Gender=Neut.Number=Sing	NOUN.Case=Nom.Definite=Ind.Gender=Neut.Number=Sing	NOUN.Case=Nom.Definite=Ind.Gender=Neut.Number=Sing	NOUN.Case=Nom.Definite=Ind.Gender=Neut.Number=Sing	NOUN.Case=Nom.Definite=Ind.Gender=Neut.Number=Sing
,	PUNCT	PUNCT	PUNCT	PUNCT	PUNCT	PUNCT
där	ADV	ADV	ADV	ADV	ADV	ADV
första	ADJ.Case=Nom	ADJ.Case=Nom	ADJ.Case=Nom	ADJ.Case=Nom	ADJ.Case=Nom	ADJ.Case=Nom
budet	NOUN.Case=Nom.Definite=Def.Gender=Neut.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Neut.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Neut.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Neut.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Neut.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Neut.Number=Sing
löd	VERB.Mood=Ind.Tense=Past.VerbForm=Fin.Voice=Act	VERB.Mood=Ind.Tense=Past.VerbForm=Fin.Voice=Act	VERB.Mood=Ind.Tense=Past.VerbForm=Fin.Voice=Act	VERB.Mood=Ind.Tense=Past.VerbForm=Fin.Voice=Act	VERB.Mood=Ind.Tense=Past.VerbForm=Fin.Voice=Act	VERB.Mood=Ind.Tense=Past.VerbForm=Fin.Voice=Act
:	PUNCT	PUNCT	PUNCT	PUNCT	PUNCT	PUNCT

'	PUNCT	PUNCT	PUNCT	PUNCT	PUNCT	PUNCT
Du	PRON.Case=Nom.Definite=Def.Gender=Com.Number=Sing.PronType=Prs	PRON.Case=Nom.Definite=Def.Gender=Com.Number=Sing.PronType=Prs	PRON.Case=Nom.Definite=Def.Gender=Com.Number=Sing.PronType=Prs	PRON.Case=Nom.Definite=Def.Gender=Com.Number=Sing.PronType=Prs	PRON.Case=Nom.Definite=Def.Gender=Com.Number=Sing.PronType=Prs	PRON.Case=Nom.Definite=Def.Gender=Com.Number=Sing.PronType=Prs
skall	AUX.Mood=Ind.Tense=Pres.VerbForm=Fin.Voice=Act	AUX.Mood=Ind.Tense=Pres.VerbForm=Fin.Voice=Act	AUX.Mood=Ind.Tense=Pres.VerbForm=Fin.Voice=Act	AUX.Mood=Ind.Tense=Pres.VerbForm=Fin.Voice=Act	AUX.Mood=Ind.Tense=Pres.VerbForm=Fin.Voice=Act	AUX.Mood=Ind.Tense=Pres.VerbForm=Fin.Voice=Act
lyda	VERB.VerbForm=Inf.Voice=Act	VERB.VerbForm=Inf.Voice=Act	VERB.VerbForm=Inf.Voice=Act	VERB.VerbForm=Inf.Voice=Act	VERB.VerbForm=Inf.Voice=Act	VERB.VerbForm=Inf.Voice=Act
din	PRON.Definite=Def.Gender=Com.Number=Sing.Poss=Yes.PronType=Prs	PRON.Definite=Def.Gender=Com.Number=Sing.Poss=Yes.PronType=Prs	PRON.Definite=Def.Gender=Com.Number=Sing.Poss=Yes.PronType=Prs	PRON.Definite=Def.Gender=Com.Number=Sing.Poss=Yes.PronType=Prs	PRON.Definite=Def.Gender=Com.Number=Sing.Poss=Yes.PronType=Prs	PRON.Definite=Def.Gender=Com.Number=Sing.Poss=Yes.PronType=Prs
fader	NOUN.Case=Nom.Definite=Ind.Gender=Com.Number=Sing	NOUN.Case=Nom.Definite=Ind.Gender=Com.Number=Sing	NOUN.Case=Nom.Definite=Ind.Gender=Com.Number=Sing	NOUN.Case=Nom.Definite=Ind.Gender=Com.Number=Sing	NOUN.Case=Nom.Definite=Ind.Gender=Com.Number=Sing	NOUN.Case=Nom.Definite=Ind.Gender=Com.Number=Sing
.	PUNCT	PUNCT	PUNCT	PUNCT	PUNCT	PUNCT
'	PUNCT	PUNCT	PUNCT	PUNCT	PUNCT	PUNCT

Ett	PRON.Definite=Ind.Gender=Neut.Number=Sing.PronType=Prs	PRON.Definite=Ind.Gender=Neut.Number=Sing.PronType=Prs	PRON.Definite=Ind.Gender=Neut.Number=Sing.PronType=Prs	DET.Definite=Ind.Gender=Neut.Number=Sing.PronType=Art	PRON.Definite=Ind.Gender=Neut.Number=Sing.PronType=Prs	PRON.Definite=Ind.Gender=Neut.Number=Sing.PronType=Prs
av	ADP	ADP	ADP	ADP	ADP	ADP
de	DET.Definite=Def.Number=Plur.PronType=Art	DET.Definite=Def.Number=Plur.PronType=Art	DET.Definite=Def.Number=Plur.PronType=Art	DET.Definite=Def.Number=Plur.PronType=Art	DET.Definite=Def.Number=Plur.PronType=Art	DET.Definite=Def.Number=Plur.PronType=Art
viktigaste	ADJ.Case=Nom.Definite=Def.Degree=Sup	ADJ.Case=Nom.Definite=Def.Degree=Sup	ADJ.Case=Nom.Definite=Def.Degree=Sup	ADJ.Case=Nom.Definite=Def.Degree=Sup	ADJ.Case=Nom.Definite=Def.Degree=Sup	ADJ.Case=Nom.Definite=Def.Degree=Sup
leden	NOUN.Case=Nom.Definite=Def.Gender=Neut.Number=Plur	NOUN.Case=Nom.Definite=Def.Gender=Com.Number=Plur	NOUN.Case=Nom.Definite=Def.Gender=Neut.Number=Plur	NOUN.Case=Nom.Definite=Def.Gender=Com.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Com.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Com.Number=Sing
i	ADP	ADP	ADP	ADP	ADP	ADP
skapandet	NOUN.Case=Nom.Definite=Def.Gender=Neut.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Neut.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Neut.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Neut.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Neut.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Neut.Number=Sing
av	ADP	ADP	ADP	ADP	ADP	ADP
idealsamhället	NOUN.Case=Nom.Definite=Def.Gender=Neut.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Neut.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Neut.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Neut.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Neut.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Neut.Number=Sing
bestod	VERB.Mood=Ind.Tense=Past.VerbForm=Fin.Voice=Act	VERB.Mood=Ind.Tense=Past.VerbForm=Fin.Voice=Act	VERB.Mood=Ind.Tense=Past.VerbForm=Fin.Voice=Act	VERB.Mood=Ind.Tense=Past.VerbForm=Fin.Voice=Act	VERB.Mood=Ind.Tense=Past.VerbForm=Fin.Voice=Act	VERB.Mood=Ind.Tense=Past.VerbForm=Fin.Voice=Act
i	ADP	ADP	ADP	ADP	ADP	ADP
en	DET.Definite=Ind.Gender=Com.Number=Sing.PronType=Art	DET.Definite=Ind.Gender=Com.Number=Sing.PronType=Art	DET.Definite=Ind.Gender=Com.Number=Sing.PronType=Art	DET.Definite=Ind.Gender=Com.Number=Sing.PronType=Art	DET.Definite=Ind.Gender=Com.Number=Sing.PronType=Art	DET.Definite=Ind.Gender=Com.Number=Sing.PronType=Art
fullständig	ADJ.Case=Nom.Definite=Ind.Degree=Pos.Gender=Com.Number=Sing	ADJ.Case=Nom.Definite=Ind.Degree=Pos.Gender=Com.Number=Sing	ADJ.Case=Nom.Definite=Ind.Degree=Pos.Gender=Com.Number=Sing	ADJ.Case=Nom.Definite=Ind.Degree=Pos.Gender=Com.Number=Sing	ADJ.Case=Nom.Definite=Ind.Degree=Pos.Gender=Com.Number=Sing	ADJ.Case=Nom.Definite=Ind.Degree=Pos.Gender=Com.Number=Sing
omdaning	NOUN.Case=Nom.Definite=Ind.Gender=Com.Number=Sing	NOUN.Case=Nom.Definite=Ind.Gender=Com.Number=Sing	NOUN.Case=Nom.Definite=Ind.Gender=Com.Number=Sing	NOUN.Case=Nom.Definite=Ind.Gender=Com.Number=Sing	NOUN.Case=Nom.Definite=Ind.Gender=Com.Number=Sing	NOUN.Case=Nom.Definite=Ind.Gender=Com.Number=Sing
av	ADP	ADP	ADP	ADP	ADP	ADP
denna	DET.Definite=Def.Gender=Com.Number=Sing.PronType=Dem	DET.Definite=Def.Gender=Com.Number=Sing.PronType=Dem	DET.Definite=Def.Gender=Com.Number=Sing.PronType=Dem	DET.Definite=Def.Gender=Com.Number=Sing.PronType=Dem	DET.Definite=Def.Gender=Com.Number=Sing.PronType=Dem	DET.Definite=Def.Gender=Com.Number=Sing.PronType=Dem
familjestruktur	NOUN.Case=Nom.Definite=Ind.Gender=Com.Number=Sing	NOUN.Case=Nom.Definite=Ind.Gender=Com.Number=Sing	NOUN.Case=Nom.Definite=Ind.Gender=Com.Number=Sing	NOUN.Case=Nom.Definite=Ind.Gender=Com.Number=Sing	NOUN.Case=Nom.Definite=Ind.Gender=Com.Number=Sing	NOUN.Case=Nom.Definite=Ind.Gender=Com.Number=Sing
,	PUNCT	PUNCT	PUNCT	PUNCT	PUNCT	PUNCT
eftersom	SCONJ	SCONJ	SCONJ	SCONJ	SCONJ	SCONJ
fadersauktoriteten	NOUN.Case=Nom.Definite=Def.Gender=Com.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Com.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Com.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Com.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Com.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Com.Number=Sing
ansågs	VERB.Mood=Ind.Tense=Past.VerbForm=Fin.Voice=Pass	VERB.Mood=Ind.Tense=Past.VerbForm=Fin.Voice=Pass	VERB.Mood=Ind.Tense=Past.VerbForm=Fin.Voice=Pass	VERB.Mood=Ind.Tense=Past.VerbForm=Fin	VERB.Mood=Ind.Tense=Past.VerbForm=Fin.Voice=Pass	VERB.Mood=Ind.Tense=Pres.VerbForm=Fin.Voice=Pass
vara	AUX.VerbForm=Inf.Voice=Act	AUX.VerbForm=Inf.Voice=Act	AUX.VerbForm=Inf.Voice=Act	AUX.VerbForm=Inf.Voice=Act	AUX.VerbForm=Inf.Voice=Act	AUX.VerbForm=Inf.Voice=Act
ett	DET.Definite=Ind.Gender=Neut.Number=Sing.PronType=Art	DET.Definite=Ind.Gender=Neut.Number=Sing.PronType=Art	DET.Definite=Ind.Gender=Neut.Number=Sing.PronType=Art	DET.Definite=Ind.Gender=Neut.Number=Sing.PronType=Art	DET.Definite=Ind.Gender=Neut.Number=Sing.PronType=Art	DET.Definite=Ind.Gender=Neut.Number=Sing.PronType=Art
ont	NOUN.Case=Nom.Definite=Ind.Gender=Neut.Number=Sing	ADJ.Case=Nom.Definite=Ind.Degree=Pos.Gender=Neut.Number=Sing	ADJ.Case=Nom.Definite=Ind.Degree=Pos.Gender=Neut.Number=Sing	ADJ.Case=Nom.Definite=Ind.Degree=Pos.Gender=Neut.Number=Sing	ADJ.Case=Nom.Definite=Ind.Degree=Pos.Gender=Neut.Number=Sing	ADJ.Case=Nom.Definite=Ind.Degree=Pos.Gender=Neut.Number=Sing
,	PUNCT	PUNCT	PUNCT	PUNCT	PUNCT	PUNCT
som	PRON.PronType=Rel	PRON.PronType=Rel	PRON.PronType=Rel	PRON.PronType=Rel	PRON.PronType=Rel	PRON.PronType=Rel
förpestade	VERB.Mood=Ind.Tense=Past.VerbForm=Fin.Voice=Act	VERB.Mood=Ind.Tense=Past.VerbForm=Fin.Voice=Act	VERB.Mood=Ind.Tense=Past.VerbForm=Fin.Voice=Act	VERB.Mood=Ind.Tense=Past.VerbForm=Fin.Voice=Act	VERB.Mood=Ind.Tense=Past.VerbForm=Fin.Voice=Act	VERB.Mood=Ind.Tense=Past.VerbForm=Fin.Voice=Act
familjelivet	NOUN.Case=Nom.Definite=Def.Gender=Neut.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Neut.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Neut.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Neut.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Neut.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Neut.Number=Sing
och	CCONJ	CCONJ	CCONJ	CCONJ	CCONJ	CCONJ
därigenom	ADV	ADV	ADV	ADV	ADV	ADV
hela	ADJ.Case=Nom.Definite=Def.Degree=Pos.Number=Sing	ADJ.Case=Nom.Definite=Def.Degree=Pos.Number=Sing	ADJ.Case=Nom.Definite=Def.Degree=Pos.Number=Sing	ADJ.Case=Nom.Definite=Def.Degree=Pos.Number=Sing	ADJ.Case=Nom.Definite=Def.Degree=Pos.Number=Sing	ADJ.Case=Nom.Definite=Def.Degree=Pos.Number=Sing
samhället	NOUN.Case=Nom.Definite=Def.Gender=Neut.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Neut.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Neut.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Neut.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Neut.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Neut.Number=Sing
.	PUNCT	PUNCT	PUNCT	PUNCT	PUNCT	PUNCT

'	PUNCT	PUNCT	PUNCT	PUNCT	PUNCT	PUNCT
Grunden	NOUN.Case=Nom.Definite=Def.Gender=Com.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Com.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Com.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Com.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Com.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Com.Number=Sing
för	ADP	ADP	ADP	ADP	ADP	ADP
vårt	PRON.Definite=Def.Gender=Neut.Number=Sing.Poss=Yes.PronType=Prs	PRON.Definite=Def.Gender=Neut.Number=Sing.Poss=Yes.PronType=Prs	PRON.Definite=Def.Gender=Neut.Number=Sing.Poss=Yes.PronType=Prs	PRON.Definite=Def.Gender=Neut.Number=Sing.Poss=Yes.PronType=Prs	PRON.Definite=Def.Gender=Neut.Number=Sing.Poss=Yes.PronType=Prs	PRON.Definite=Def.Gender=Neut.Number=Sing.Poss=Yes.PronType=Prs
system	NOUN.Case=Nom.Definite=Ind.Gender=Neut.Number=Sing	NOUN.Case=Nom.Definite=Ind.Gender=Neut.Number=Sing	NOUN.Case=Nom.Definite=Ind.Gender=Neut.Number=Sing	NOUN.Case=Nom.Definite=Ind.Gender=Neut.Number=Sing	NOUN.Case=Nom.Definite=Ind.Gender=Neut.Number=Sing	NOUN.Case=Nom.Definite=Ind.Gender=Neut.Number=Sing
är	AUX.Mood=Ind.Tense=Pres.VerbForm=Fin.Voice=Act	AUX.Mood=Ind.Tense=Pres.VerbForm=Fin.Voice=Act	AUX.Mood=Ind.Tense=Pres.VerbForm=Fin.Voice=Act	AUX.Mood=Ind.Tense=Pres.VerbForm=Fin.Voice=Act	AUX.Mood=Ind.Tense=Pres.VerbForm=Fin.Voice=Act	AUX.Mood=Ind.Tense=Pres.VerbForm=Fin.Voice=Act
mycket	ADV.Degree=Pos	ADV.Degree=Pos	ADV.Degree=Pos	ADV.Degree=Pos	ADV.Degree=Pos	ADV.Degree=Pos
enkel	ADJ.Case=Nom.Definite=Ind.Degree=Pos.Gender=Com.Number=Sing	ADJ.Case=Nom.Definite=Ind.Degree=Pos.Gender=Com.Number=Sing	ADJ.Case=Nom.Definite=Ind.Degree=Pos.Gender=Com.Number=Sing	ADJ.Case=Nom.Definite=Ind.Degree=Pos.Gender=Com.Number=Sing	ADJ.Case=Nom.Definite=Ind.Degree=Pos.Gender=Com.Number=Sing	NOUN.Case=Nom.Definite=Ind.Gender=Com.Number=Sing
:	PUNCT	PUNCT	PUNCT	PUNCT	PUNCT	PUNCT
att	PART	PART	PART	PART	PART	PART
göra	VERB.VerbForm=Inf.Voice=Act	VERB.VerbForm=Inf.Voice=Act	VERB.VerbForm=Inf.Voice=Act	VERB.VerbForm=Inf.Voice=Act	VERB.VerbForm=Inf.Voice=Act	VERB.VerbForm=Inf.Voice=Act
motsatsen	NOUN.Case=Nom.Definite=Def.Gender=Com.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Com.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Com.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Com.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Com.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Com.Number=Sing
mot	ADP	ADP	ADP	ADP	ADP	ADP
vad	PRON.Definite=Ind.Gender=Neut.Number=Sing.PronType=Int	PRON.Definite=Ind.Gender=Neut.Number=Sing.PronType=Int	PRON.Definite=Ind.Gender=Neut.Number=Sing.PronType=Prs	PRON.Definite=Ind.Gender=Neut.Number=Sing.PronType=Int	PRON.Definite=Ind.Gender=Neut.Number=Sing.PronType=Prs	PRON.Definite=Ind.Gender=Neut.Number=Sing.PronType=Prs
vi	PRON.Case=Nom.Definite=Def.Gender=Com.Number=Plur.PronType=Prs	PRON.Case=Nom.Definite=Def.Gender=Com.Number=Plur.PronType=Prs	PRON.Case=Nom.Definite=Def.Gender=Com.Number=Plur.PronType=Prs	PRON.Case=Nom.Definite=Def.Gender=Com.Number=Plur.PronType=Prs	PRON.Case=Nom.Definite=Def.Gender=Com.Number=Plur.PronType=Prs	PRON.Case=Nom.Definite=Def.Gender=Com.Number=Plur.PronType=Prs
själva	ADJ.Case=Nom.Degree=Pos.Number=Plur	ADJ.Case=Nom.Degree=Pos.Number=Plur	ADJ.Case=Nom.Degree=Pos.Number=Plur	ADJ.Case=Nom.Degree=Pos.Number=Plur	ADJ.Case=Nom.Degree=Pos.Number=Plur	ADJ.Case=Nom.Degree=Pos.Number=Plur
erfor	VERB.Mood=Ind.Tense=Past.VerbForm=Fin.Voice=Act	VERB.Mood=Ind.Tense=Past.VerbForm=Fin.Voice=Act	VERB.Mood=Ind.Tense=Past.VerbForm=Fin.Voice=Act	VERB.Mood=Ind.Tense=Past.VerbForm=Fin.Voice=Act	NOUN.Case=Nom.Definite=Ind.Gender=Com.Number=Plur	VERB.Mood=Ind.Tense=Past.VerbForm=Fin.Voice=Act
eller	CCONJ	CCONJ	CCONJ	CCONJ	CCONJ	CCONJ
lärde	VERB.Mood=Ind.Tense=Past.VerbForm=Fin.Voice=Act	VERB.Mood=Ind.Tense=Past.VerbForm=Fin.Voice=Act	VERB.Mood=Ind.Tense=Past.VerbForm=Fin.Voice=Act	VERB.Mood=Ind.Tense=Pres.VerbForm=Fin.Voice=Act	VERB.Mood=Ind.Tense=Past.VerbForm=Fin.Voice=Act	ADJ.Case=Nom.Degree=Pos.Number=Plur
oss	PRON.Case=Acc.Definite=Def.Gender=Com.Number=Plur.PronType=Prs	PRON.Case=Acc.Definite=Def.Gender=Com.Number=Plur.PronType=Prs	PRON.Case=Acc.Definite=Def.Gender=Com.Number=Plur.PronType=Prs	PRON.Case=Acc.Definite=Def.Gender=Com.Number=Plur.PronType=Prs	PRON.Case=Acc.Definite=Def.Gender=Com.Number=Plur.PronType=Prs	PRON.Case=Acc.Definite=Def.Gender=Com.Number=Plur.PronType=Prs
som	ADP	SCONJ	SCONJ	SCONJ	SCONJ	SCONJ
barn	NOUN.Case=Nom.Definite=Ind.Gender=Neut.Number=Plur	NOUN.Case=Nom.Definite=Ind.Gender=Neut.Number=Sing	NOUN.Case=Nom.Definite=Ind.Gender=Neut.Number=Plur	NOUN.Case=Nom.Definite=Ind.Gender=Neut.Number=Plur	NOUN.Case=Nom.Definite=Ind.Gender=Neut.Number=Plur	NOUN.Case=Nom.Definite=Ind.Gender=Neut.Number=Plur
.	PUNCT	PUNCT	PUNCT	PUNCT	PUNCT	PUNCT
'	PUNCT	PUNCT	PUNCT	PUNCT	PUNCT	PUNCT

I	ADP	ADP	ADP	ADP	ADP	ADP
den	DET.Definite=Def.Gender=Com.Number=Sing.PronType=Art	DET.Definite=Def.Gender=Com.Number=Sing.PronType=Art	DET.Definite=Def.Gender=Com.Number=Sing.PronType=Art	DET.Definite=Def.Gender=Com.Number=Sing.PronType=Art	DET.Definite=Def.Gender=Com.Number=Sing.PronType=Art	DET.Definite=Def.Gender=Com.Number=Sing.PronType=Art
traditionella	ADJ.Case=Nom.Definite=Def.Degree=Pos.Number=Sing	ADJ.Case=Nom.Definite=Def.Degree=Pos.Number=Sing	ADJ.Case=Nom.Definite=Def.Degree=Pos.Number=Sing	ADJ.Case=Nom.Definite=Def.Degree=Pos.Number=Sing	ADJ.Case=Nom.Definite=Def.Degree=Pos.Number=Sing	ADJ.Case=Nom.Definite=Def.Degree=Pos.Number=Sing
familjen	NOUN.Case=Nom.Definite=Def.Gender=Com.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Com.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Com.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Com.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Com.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Com.Number=Sing
grundades	VERB.Mood=Ind.Tense=Past.VerbForm=Fin.Voice=Pass	VERB.Mood=Ind.Tense=Past.VerbForm=Fin.Voice=Pass	VERB.Mood=Ind.Tense=Past.VerbForm=Fin.Voice=Pass	VERB.Mood=Ind.Tense=Past.VerbForm=Fin.Voice=Pass	VERB.Mood=Ind.Tense=Past.VerbForm=Fin.Voice=Pass	VERB.Mood=Ind.Tense=Past.VerbForm=Fin.Voice=Pass
fadersauktoriteten	NOUN.Case=Nom.Definite=Def.Gender=Com.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Com.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Com.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Com.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Com.Number=Sing	NOUN.Case=Nom.Definite=Def.Gender=Com.Number=Sing
främst	ADV.Degree=Sup	ADV.Degree=Sup	ADV.Degree=Sup	ADV.Degree=Sup	ADV.Degree=Sup	ADV.Degree=Sup
på	ADP	ADP	ADP	ADP	ADP	ADP
barnens	NOUN.Case=Gen.Definite=Def.Gender=Neut.Number=Plur	NOUN.Case=Gen.Definite=Def.Gender=Neut.Number=Plur	NOUN.Case=Gen.Definite=Def.Gender=Neut.Number=Plur	NOUN.Case=Gen.Definite=Def.Gender=Neut.Number=Plur	NOUN.Case=Gen.Definite=Def.Gender=Neut.Number=Plur	NOUN.Case=Gen.Definite=Def.Gender=Neut.Number=Plur
ekonomiska	ADJ.Case=Nom.Definite=Def.Degree=Pos.Number=Sing	ADJ.Case=Nom.Definite=Def.Degree=Pos.Number=Sing	ADJ.Case=Nom.Definite=Def.Degree=Pos.Number=Sing	ADJ.Case=Nom.Definite=Def.Degree=Pos.Number=Sing	ADJ.Case=Nom.Definite=Def.Degree=Pos.Number=Sing	ADJ.Case=Nom.Definite=Def.Degree=Pos.Number=Sing
beroende	NOUN.Case=Nom.Definite=Ind.Gender=Neut.Number=Sing	NOUN.Case=Nom.Definite=Ind.Gender=Neut.Number=Sing	NOUN.Case=Nom.Definite=Ind.Gender=Neut.Number=Sing	NOUN.Case=Nom.Definite=Ind.Gender=Neut.Number=Sing	NOUN.Case=Nom.Definite=Ind.Gender=Neut.Number=Sing	NOUN.Case=Nom.Definite=Ind.Gender=Neut.Number=Sing
.	PUNCT	PUNCT	PUNCT	PUNCT	PUNCT	PUNCT

Genom	ADP	ADP	ADP	ADP	ADP	ADP
att	PART	PART	PART	PART	PART	PART
överföra	VERB.VerbForm=Inf.Voice=Act	VERB.VerbForm=Inf.Voice=Act	VERB.VerbForm=Inf.Voice=Act	VERB.VerbForm=Inf.Voice=Act	VERB.VerbForm=Inf.Voice=Act	VERB.VerbForm=Inf.Voice=Act
